"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000001162",204.808055666389,0.31946015122213,0.435261478283021,0.733949975270742,0.462979227099073,0.722363851698019,"matr3l1.1"
"ENSDARG00000001169",50.9218907261114,-1.51760394843686,0.770411666655593,-1.9698610679468,0.0488542954056807,0.212598124243248,"hsd17b8"
"ENSDARG00000001210",125.245792250181,-1.40755572437609,0.564707266107933,-2.49254048752946,0.012683286949117,0.0973187149756671,"arl14ep"
"ENSDARG00000001220",344.961863149403,0.136098469723981,0.399139557272883,0.340979657976954,0.733118895630994,0.888794979034144,"mycbp2"
"ENSDARG00000001234",41.9601718005192,1.0914393080088,0.601397479859817,1.81483851289701,0.0695487299380136,0.259951033987239,"map4k2"
"ENSDARG00000001241",401.807987215382,0.250169604321113,0.406082860230079,0.616055561122111,0.537857850224814,0.77347481240322,"puf60b"
"ENSDARG00000001244",523.821298813133,0.383390796028928,0.438034139122581,0.87525323208116,0.381436134863697,0.655265652278832,"srrm1"
"ENSDARG00000001249",62.9344612779035,-0.717658813151252,0.697941304902301,-1.02825095478725,0.303831795139598,0.586108697718361,"pcgf1"
"ENSDARG00000001259",25.3381195011021,2.20193112329566,0.781650173175272,2.81702889458953,0.00484701648454091,0.0568651292487748,"gas2"
"ENSDARG00000001303",773.976636480783,-0.789546445156962,0.491950977110778,-1.60492911264037,0.108509405830213,0.329926913513817,"psmb8a"
"ENSDARG00000001414",64.6108663021569,0.141664967860008,0.568527064797637,0.249178933830411,0.803222373954433,0.924387717840327,"mctp2a"
